route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
4021_65780,204,4021_1,Shaw street,5092,0,4021_7778195_9001001,4021_1
4021_65780,204,4021_10,Shaw street,5152,0,4021_7778195_9001009,4021_1
4021_65780,205,4021_100,Shaw street,11921,0,4021_7778195_9001003,4021_1
4021_65776,204,4021_1000,Ashington,7106,1,4021_7778195_7122021,4021_33
4021_65733,205,4021_10000,Abbey St,12546,1,4021_7778195_5041004,4021_320
4021_65733,204,4021_10001,Abbey St,5922,1,4021_7778195_5041010,4021_318
4021_65733,206,4021_10002,Abbey St,17997,1,4021_7778195_5041005,4021_318
4021_65733,204,4021_10003,Abbey St,5981,1,4021_7778195_5041017,4021_318
4021_65733,205,4021_10004,Abbey St,12667,1,4021_7778195_5041001,4021_318
4021_65733,206,4021_10005,Abbey St,18170,1,4021_7778195_5041006,4021_318
4021_65733,204,4021_10006,Abbey St,5721,1,4021_7778195_5041018,4021_319
4021_65733,205,4021_10007,Abbey St,12640,1,4021_7778195_5041007,4021_318
4021_65733,204,4021_10008,Abbey St,5663,1,4021_7778195_5041019,4021_318
4021_65733,206,4021_10009,Abbey St,17979,1,4021_7778195_5041002,4021_318
4021_65776,205,4021_1001,Ashington,13576,1,4021_7778195_7122006,4021_33
4021_65733,204,4021_10010,Abbey St,5938,1,4021_7778195_5041001,4021_318
4021_65733,205,4021_10011,Abbey St,12460,1,4021_7778195_5041003,4021_318
4021_65733,206,4021_10012,Abbey St,18135,1,4021_7778195_5041003,4021_318
4021_65733,204,4021_10013,Abbey St,5952,1,4021_7778195_5041003,4021_318
4021_65733,205,4021_10014,Abbey St,12548,1,4021_7778195_5041004,4021_318
4021_65733,204,4021_10015,Abbey St,6057,1,4021_7778195_5041009,4021_318
4021_65733,206,4021_10016,Abbey St,18042,1,4021_7778195_5041007,4021_318
4021_65733,205,4021_10017,Abbey St,12669,1,4021_7778195_5041001,4021_318
4021_65733,204,4021_10018,Abbey St,5777,1,4021_7778195_5041011,4021_319
4021_65733,206,4021_10019,Abbey St,17999,1,4021_7778195_5041005,4021_318
4021_65776,204,4021_1002,Ashington,6904,1,4021_7778195_7122006,4021_33
4021_65733,204,4021_10020,Abbey St,5851,1,4021_7778195_5041015,4021_318
4021_65733,205,4021_10021,Abbey St,12762,1,4021_7778195_5041008,4021_318
4021_65733,204,4021_10022,Abbey St,5983,1,4021_7778195_5041017,4021_318
4021_65733,206,4021_10023,Abbey St,18172,1,4021_7778195_5041006,4021_318
4021_65733,205,4021_10024,Abbey St,12642,1,4021_7778195_5041007,4021_318
4021_65733,204,4021_10025,Abbey St,5723,1,4021_7778195_5041018,4021_318
4021_65733,205,4021_10026,Abbey St,12678,1,4021_7778195_5041011,4021_318
4021_65733,206,4021_10027,Abbey St,18081,1,4021_7778195_5041008,4021_318
4021_65733,204,4021_10028,Abbey St,5665,1,4021_7778195_5041019,4021_318
4021_65733,205,4021_10029,Abbey St,12616,1,4021_7778195_5041009,4021_318
4021_65776,206,4021_1003,Ashington,18697,1,4021_7778195_7122005,4021_33
4021_65733,204,4021_10030,Abbey St,5940,1,4021_7778195_5041001,4021_318
4021_65733,206,4021_10031,Abbey St,17960,1,4021_7778195_5041011,4021_318
4021_65733,205,4021_10032,Abbey St,12550,1,4021_7778195_5041004,4021_318
4021_65733,204,4021_10033,Abbey St,5954,1,4021_7778195_5041003,4021_318
4021_65733,205,4021_10034,Abbey St,12523,1,4021_7778195_5041006,4021_318
4021_65733,206,4021_10035,Abbey St,17945,1,4021_7778195_5041010,4021_318
4021_65733,204,4021_10036,Abbey St,5730,1,4021_7778195_5041021,4021_318
4021_65733,205,4021_10037,Abbey St,12776,1,4021_7778195_5041016,4021_318
4021_65733,204,4021_10038,Abbey St,5779,1,4021_7778195_5041011,4021_318
4021_65733,206,4021_10039,Abbey St,18001,1,4021_7778195_5041005,4021_318
4021_65776,204,4021_1004,Ashington,7082,1,4021_7778195_7122008,4021_33
4021_65733,205,4021_10040,Abbey St,12661,1,4021_7778195_5041010,4021_318
4021_65733,204,4021_10041,Abbey St,5964,1,4021_7778195_5041022,4021_318
4021_65733,205,4021_10042,Abbey St,12450,1,4021_7778195_5041012,4021_318
4021_65733,206,4021_10043,Abbey St,18174,1,4021_7778195_5041006,4021_318
4021_65733,204,4021_10044,Abbey St,6028,1,4021_7778195_5041024,4021_318
4021_65733,205,4021_10045,Abbey St,12756,1,4021_7778195_5041002,4021_318
4021_65733,204,4021_10046,Abbey St,5623,1,4021_7778195_5041014,4021_318
4021_65733,206,4021_10047,Abbey St,18083,1,4021_7778195_5041008,4021_318
4021_65733,205,4021_10048,Abbey St,12464,1,4021_7778195_5041003,4021_318
4021_65733,204,4021_10049,Abbey St,5667,1,4021_7778195_5041019,4021_318
4021_65776,205,4021_1005,Ashington,13677,1,4021_7778195_7122009,4021_33
4021_65733,205,4021_10050,Abbey St,12618,1,4021_7778195_5041009,4021_318
4021_65733,206,4021_10051,Abbey St,18139,1,4021_7778195_5041003,4021_318
4021_65733,204,4021_10052,Abbey St,5942,1,4021_7778195_5041001,4021_318
4021_65733,205,4021_10053,Abbey St,12793,1,4021_7778195_5041018,4021_318
4021_65733,204,4021_10054,Abbey St,5956,1,4021_7778195_5041003,4021_318
4021_65733,206,4021_10055,Abbey St,18029,1,4021_7778195_5041009,4021_318
4021_65733,205,4021_10056,Abbey St,12740,1,4021_7778195_5041005,4021_318
4021_65733,204,4021_10057,Abbey St,5732,1,4021_7778195_5041021,4021_318
4021_65733,205,4021_10058,Abbey St,12778,1,4021_7778195_5041016,4021_318
4021_65733,206,4021_10059,Abbey St,17970,1,4021_7778195_5041016,4021_318
4021_65776,204,4021_1006,Ashington,7027,1,4021_7778195_7122017,4021_33
4021_65733,204,4021_10060,Abbey St,5781,1,4021_7778195_5041011,4021_318
4021_65733,205,4021_10061,Abbey St,12636,1,4021_7778195_5041020,4021_318
4021_65733,204,4021_10062,Abbey St,5966,1,4021_7778195_5041022,4021_318
4021_65733,206,4021_10063,Abbey St,17950,1,4021_7778195_5041018,4021_318
4021_65733,205,4021_10064,Abbey St,12815,1,4021_7778195_5041019,4021_318
4021_65733,204,4021_10065,Abbey St,2618,1,4021_7778195_812029,4021_318
4021_65733,204,4021_10066,Abbey St,2417,1,4021_7778195_812026,4021_318
4021_65733,205,4021_10067,Abbey St,12452,1,4021_7778195_5041012,4021_318
4021_65733,206,4021_10068,Abbey St,18099,1,4021_7778195_5041023,4021_318
4021_65733,204,4021_10069,Abbey St,6030,1,4021_7778195_5041024,4021_318
4021_65776,206,4021_1007,Ashington,18731,1,4021_7778195_7122009,4021_35
4021_65733,205,4021_10070,Abbey St,12682,1,4021_7778195_5041011,4021_318
4021_65733,204,4021_10071,Abbey St,5625,1,4021_7778195_5041014,4021_318
4021_65733,206,4021_10072,Abbey St,18197,1,4021_7778195_5041022,4021_318
4021_65733,205,4021_10073,Abbey St,12620,1,4021_7778195_5041009,4021_318
4021_65733,204,4021_10074,Abbey St,5990,1,4021_7778195_5041030,4021_318
4021_65733,205,4021_10075,Abbey St,12817,1,4021_7778195_5041021,4021_318
4021_65733,206,4021_10076,Abbey St,18031,1,4021_7778195_5041009,4021_318
4021_65733,204,4021_10077,Abbey St,2181,1,4021_7778195_812030,4021_318
4021_65733,205,4021_10078,Abbey St,12742,1,4021_7778195_5041005,4021_318
4021_65733,204,4021_10079,Abbey St,5961,1,4021_7778195_5041026,4021_318
4021_65776,204,4021_1008,Ashington,7101,1,4021_7778195_7122019,4021_33
4021_65733,206,4021_10080,Abbey St,17957,1,4021_7778195_5041020,4021_318
4021_65733,205,4021_10081,Abbey St,12780,1,4021_7778195_5041016,4021_318
