service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
20,0,0,0,0,0,1,0,20240406,20241207
59,1,1,1,1,0,0,0,20240408,20240411
60,0,0,0,0,0,1,0,20240406,20240406
61,0,0,0,0,0,0,1,20240407,20240407
192,0,0,0,0,0,0,1,20240407,20241201
193,0,0,0,0,0,0,0,20240603,20240603
194,0,0,0,0,0,0,0,20240805,20240805
195,1,1,1,1,1,0,0,20240408,20241206
196,0,0,0,0,0,1,0,20240406,20241207
197,0,0,0,0,0,0,0,20240504,20240504
198,0,0,0,0,0,0,0,20240518,20240518
199,0,0,0,0,0,0,0,20240505,20240505
200,0,0,0,0,0,0,0,20240506,20240506
201,0,0,0,0,0,0,1,20240414,20240414
202,0,0,0,0,0,0,0,20240609,20240609
203,1,1,1,1,1,0,0,20240408,20241206
204,0,1,0,0,0,0,0,20240409,20240409
205,0,0,0,0,0,1,0,20240406,20241207
206,0,0,0,0,0,1,0,20240413,20241207
207,1,1,1,1,1,1,0,20240408,20241207
208,0,0,0,0,0,0,1,20240414,20241201
209,0,0,0,0,0,1,0,20240413,20241207
210,1,1,1,1,1,0,0,20240408,20241206
211,0,0,0,0,0,1,0,20240413,20240413
212,0,0,0,0,0,0,0,20241124,20241124
213,1,1,1,1,1,1,0,20240406,20241207
214,1,1,1,1,1,1,0,20240406,20241207
215,0,0,0,0,0,0,1,20240407,20241201
216,1,1,1,1,1,1,0,20240406,20241207
217,0,0,0,0,0,1,0,20240406,20241207
218,0,0,0,0,1,0,0,20240412,20241206
219,1,1,1,1,0,1,0,20240406,20241207
220,0,0,0,0,0,0,0,20240520,20240520
221,1,1,1,1,1,1,0,20240406,20241207
222,0,0,0,0,0,0,0,20240427,20240427
223,1,1,1,1,0,1,0,20240406,20241207
224,1,1,1,1,0,0,0,20240408,20241205
225,0,0,0,0,0,0,0,20241028,20241028
226,1,1,1,1,0,0,0,20240408,20241205
227,0,0,0,0,0,0,1,20240407,20241201
228,1,1,1,1,1,1,0,20240406,20241207
229,1,1,1,1,1,1,0,20240406,20241207
230,0,0,0,0,1,0,0,20240412,20240412
231,1,1,1,1,1,1,0,20240406,20241207
232,1,1,1,1,1,1,0,20240408,20240413
233,1,1,1,1,1,0,0,20240415,20240420
234,0,0,0,0,0,0,0,20240422,20240427
235,0,0,0,0,0,0,0,20240421,20240421
236,0,0,0,0,0,0,0,20240428,20240428
237,1,0,0,0,0,0,0,20240408,20241202
238,0,1,1,1,1,0,0,20240409,20241206
239,0,0,0,0,0,0,0,20240511,20240511
240,0,0,0,0,1,1,0,20240406,20241207
241,1,1,1,1,0,1,0,20240406,20241207
242,1,1,1,1,1,1,0,20240429,20241207
243,0,0,0,0,0,0,1,20240505,20241201
244,1,1,1,1,1,1,0,20240429,20241207
245,1,1,1,1,1,0,0,20240408,20240412
246,0,0,0,0,0,0,0,20240422,20240426
