service_id,date,exception_type
192,20240414,2
192,20240505,2
192,20240609,2
193,20240603,1
194,20240805,1
195,20240506,2
195,20240603,2
195,20240805,2
195,20241028,2
196,20240504,2
196,20240518,2
197,20240504,1
198,20240518,1
199,20240505,1
200,20240506,1
202,20240609,1
203,20240409,2
203,20240506,2
203,20240603,2
203,20240805,2
203,20241028,2
205,20240518,2
206,20240504,2
206,20240518,2
212,20241124,1
214,20240506,2
214,20240603,2
214,20240805,2
214,20241028,2
216,20240511,2
217,20240511,2
219,20240511,2
220,20240520,1
221,20240506,2
221,20240511,2
221,20240603,2
221,20240805,2
221,20241028,2
222,20240427,1
225,20241028,1
226,20240506,2
226,20240603,2
226,20240805,2
226,20241028,2
227,20240505,2
227,20240602,2
227,20240804,2
227,20241027,2
228,20240413,2
228,20240427,2
229,20240408,2
229,20240409,2
229,20240410,2
229,20240411,2
229,20240412,2
231,20240413,2
231,20240427,2
231,20240506,2
231,20240603,2
231,20240805,2
231,20241028,2
233,20240420,1
234,20240422,1
234,20240423,1
234,20240424,1
234,20240425,1
234,20240426,1
234,20240427,1
235,20240421,1
236,20240428,1
237,20240506,2
237,20240603,2
237,20240805,2
237,20241028,2
239,20240511,1
241,20240413,2
241,20240427,2
241,20240506,2
241,20240603,2
241,20240805,2
241,20241028,2
242,20240506,2
242,20240603,2
242,20240805,2
242,20241028,2
246,20240422,1
246,20240423,1
246,20240424,1
246,20240425,1
246,20240426,1
