trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
3974_1770,10:04:00,10:04:00,8350IR0122,1,Howth,0,1,1
3974_1770,10:14:00,10:15:00,8350IR0123,2,,0,0,1
3974_1770,10:19:00,10:20:00,8250IR0022,3,,0,0,1
3974_1770,10:22:00,10:22:00,8250IR0021,4,,0,0,1
3974_1770,10:27:00,10:27:00,8250IR0014,5,,0,0,1
3974_1770,10:29:00,10:30:00,8250IR0037,6,,0,0,1
3974_1770,10:31:00,10:32:00,8250IR0111,7,,0,0,1
3974_1770,10:35:00,10:35:00,8250IR0124,8,,0,0,1
3974_1770,10:37:00,10:37:00,8250IR0042,9,,0,0,1
3974_1770,10:39:00,10:39:00,8250IR0029,10,,0,0,1
3974_1770,10:41:00,10:41:00,8250IR0030,11,,0,0,1
3974_1770,10:43:00,10:44:00,8250IR0039,12,,0,0,1
3974_1770,10:46:00,10:46:00,8220IR0034,13,,0,0,1
3974_1770,10:48:00,10:49:00,8220IR0028,14,,0,0,1
3974_1770,10:51:00,10:51:00,8220IR0133,15,,0,0,1
3974_1770,10:54:00,10:55:00,8220IR0135,16,,0,0,1
3974_1770,10:56:00,10:57:00,8220IR0134,17,,0,0,1
3974_1770,10:58:00,10:59:00,8220IR0025,18,,0,0,1
3974_1770,11:01:00,11:02:00,8220IR0007,19,,0,0,1
3974_1770,11:06:00,11:07:00,8220IR0032,20,,0,0,1
3974_1770,11:09:00,11:09:00,8220IR3881,21,,0,0,1
3974_1770,11:11:00,11:11:00,8220IR0131,22,,0,0,1
3974_1770,11:13:00,11:13:00,8220IR0035,23,,0,0,1
3974_1770,11:15:00,11:15:00,8220IR0141,24,,0,0,1
3974_1770,11:17:00,11:17:00,8240IR0025,25,,0,0,1
3974_1770,11:19:00,11:20:00,8240IR0140,26,,0,0,1
3974_1770,11:22:00,11:22:00,8240IR0024,27,,0,0,1
3974_1770,11:28:00,11:28:00,8240IR0017,28,,1,0,1
3974_1771,10:05:00,10:05:00,8350IR0123,1,Malahide,0,1,1
3974_1771,10:09:00,10:10:00,8250IR0022,2,,0,0,1
3974_1771,10:12:00,10:12:00,8250IR0021,3,,0,0,1
3974_1771,10:17:00,10:17:00,8250IR0014,4,,0,0,1
3974_1771,10:19:00,10:20:00,8250IR0037,5,,0,0,1
3974_1771,10:21:00,10:22:00,8250IR0111,6,,0,0,1
3974_1771,10:25:00,10:25:00,8250IR0124,7,,0,0,1
3974_1771,10:27:00,10:27:00,8250IR0042,8,,0,0,1
3974_1771,10:29:00,10:29:00,8250IR0029,9,,0,0,1
3974_1771,10:31:00,10:31:00,8250IR0030,10,,0,0,1
3974_1771,10:33:00,10:34:00,8250IR0039,11,,0,0,1
3974_1771,10:36:00,10:36:00,8220IR0034,12,,0,0,1
3974_1771,10:38:00,10:39:00,8220IR0028,13,,0,0,1
3974_1771,10:41:00,10:41:00,8220IR0133,14,,0,0,1
3974_1771,10:44:00,10:45:00,8220IR0135,15,,0,0,1
3974_1771,10:46:00,10:47:00,8220IR0134,16,,0,0,1
3974_1771,10:48:00,10:49:00,8220IR0025,17,,0,0,1
3974_1771,10:51:00,10:53:00,8220IR0007,18,,0,0,1
3974_1771,10:57:00,10:58:00,8220IR0032,19,,0,0,1
3974_1771,11:00:00,11:00:00,8220IR3881,20,,0,0,1
3974_1771,11:02:00,11:02:00,8220IR0131,21,,0,0,1
3974_1771,11:04:00,11:04:00,8220IR0035,22,,0,0,1
3974_1771,11:06:00,11:06:00,8220IR0141,23,,0,0,1
3974_1771,11:08:00,11:08:00,8240IR0025,24,,0,0,1
3974_1771,11:10:00,11:11:00,8220IR0139,25,,0,0,1
3974_1771,11:13:00,11:14:00,8240IR0138,26,,0,0,1
3974_1771,11:20:00,11:20:00,8240IR0020,27,,1,0,1
3974_1772,10:05:00,10:05:00,8350IR0123,1,Howth,0,1,1
3974_1772,10:09:00,10:10:00,8250IR0022,2,,0,0,1
3974_1772,10:12:00,10:12:00,8250IR0021,3,,0,0,1
3974_1772,10:17:00,10:17:00,8250IR0014,4,,0,0,1
3974_1772,10:19:00,10:20:00,8250IR0037,5,,0,0,1
3974_1772,10:21:00,10:22:00,8250IR0111,6,,0,0,1
3974_1772,10:25:00,10:25:00,8250IR0124,7,,0,0,1
3974_1772,10:27:00,10:27:00,8250IR0042,8,,0,0,1
3974_1772,10:29:00,10:29:00,8250IR0029,9,,0,0,1
3974_1772,10:31:00,10:31:00,8250IR0030,10,,0,0,1
3974_1772,10:33:00,10:34:00,8250IR0039,11,,0,0,1
3974_1772,10:36:00,10:36:00,8220IR0034,12,,0,0,1
3974_1772,10:38:00,10:39:00,8220IR0028,13,,0,0,1
3974_1772,10:41:00,10:41:00,8220IR0133,14,,0,0,1
3974_1772,10:44:00,10:44:00,8220IR0135,15,,0,0,1
3974_1772,10:46:00,10:47:00,8220IR0134,16,,0,0,1
3974_1772,10:48:00,10:49:00,8220IR0025,17,,0,0,1
3974_1772,10:52:00,10:53:00,8220IR0007,18,,0,0,1
3974_1772,10:57:00,10:57:00,8220IR0032,19,,0,0,1
3974_1772,10:59:00,11:00:00,8220IR3881,20,,0,0,1
3974_1772,11:01:00,11:02:00,8220IR0131,21,,0,0,1
3974_1772,11:03:00,11:04:00,8220IR0035,22,,0,0,1
3974_1772,11:05:00,11:06:00,8220IR0141,23,,0,0,1
3974_1772,11:07:00,11:08:00,8240IR0025,24,,0,0,1
3974_1772,11:10:00,11:10:00,8240IR0140,25,,0,0,1
3974_1772,11:13:00,11:13:00,8240IR0024,26,,0,0,1
3974_1772,11:20:00,11:20:00,8240IR0017,27,,1,0,1
3974_1777,10:05:00,10:05:00,8220IR0135,1,Malahide,0,1,1
3974_1777,10:06:00,10:07:00,8220IR0134,2,,0,0,1
3974_1777,10:08:00,10:09:00,8220IR0025,3,,0,0,1
3974_1777,10:12:00,10:13:00,8220IR0007,4,,0,0,1
3974_1777,10:17:00,10:18:00,8220IR0032,5,,0,0,1
3974_1777,10:20:00,10:20:00,8220IR3881,6,,0,0,1
3974_1777,10:22:00,10:22:00,8220IR0131,7,,0,0,1
