route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
3974_63410,192,3974_1,Dublin Connolly,E713,1,3974_7778018_Txc2B2A4F30-89E2-42A5-A960-03CCE9A4573F,3974_11
3974_63410,195,3974_1001,Bray (Daly),E251,1,3974_7778018_Txc442BE41D-50D8-47A4-B25A-747B38384594,3974_3
3974_63410,192,3974_1002,Greystones,E112,1,3974_7778018_Txc83553C7D-000A-4965-B760-2FDA806A2AA3,3974_1
3974_63410,199,3974_1009,Grand Canal Dock,E526,1,3974_7778018_Txc9C687233-254E-4C75-8ACD-16F4754D77A4,3974_14
3974_63410,195,3974_101,Bray (Daly),E210,1,3974_7778018_Txc0B901705-5093-49F3-8BEB-EB3721F4ADD1,3974_3
3974_63410,200,3974_1010,Grand Canal Dock,E526,1,3974_7778018_Txc26B791D6-BDBB-4D79-BC0A-564070CEF420,3974_14
3974_63410,201,3974_1011,Dun Laoghaire (Mallin),E426,1,3974_7778018_TxcD5D16445-3BE6-42E5-9AC0-EAC9D7D8C116,3974_22
3974_63410,202,3974_1012,Dun Laoghaire (Mallin),E426,1,3974_7778018_Txc779CAD45-9571-499C-AC58-3F12D7BFED44,3974_22
3974_63410,193,3974_1014,Greystones,E112,1,3974_7778018_Txc991BA52F-9109-4E7E-B5BE-38153D7F1952,3974_1
3974_63410,194,3974_1015,Greystones,E112,1,3974_7778018_Txc34449AB3-7AD0-4A92-81EB-8228C543D707,3974_1
3974_63410,196,3974_1016,Bray (Daly),E233,1,3974_7778018_TxcDD7EAE16-CB62-4A01-9C5C-BEF39682E466,3974_3
3974_63410,197,3974_1022,Grand Canal Dock,E545,1,3974_7778018_TxcCF67E4B3-917D-4F7B-9E12-AAFEEDA81A6B,3974_14
3974_63410,198,3974_1023,Grand Canal Dock,E545,1,3974_7778018_TxcCC3FFCDD-EF07-4920-86F5-0864491B4586,3974_14
3974_63410,195,3974_1026,Bray (Daly),E252,1,3974_7778018_TxcE5EC592A-9C3D-42A9-B5B0-AA1B7C8A0EF1,3974_4
3974_63410,60,3974_1027,Lansdowne Road,E551,1,3974_7778018_Txc5F40199D-6542-4848-956B-D6F6972D82A8,3974_17
